Comment,Designator,Footprint,LCSC
1k,R5,R_0402_1005Metric,C11702
100n,C17,C_0603_1608Metric,C14663
100n,"C10,C11,C12,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
30p,"C15,C16",C_0402_1005Metric,C1570
1u,"C1,C2",C_0603_1608Metric,C15849
RP2040,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
1k,R6,R_0603_1608Metric,C21190
27,"R3,R4",R_0402_1005Metric,C25092
5k1,"R1,R2",R_0402_1005Metric,C25905
SW_Push,SW1,TS-1187A,C318884
1u,"C13,C14",C_0402_1005Metric,C52923
XC6206P332MR,U1,SOT-23-3,C5446
10n,C18,C_0603_1608Metric,C57112
SRV05-4,U2,SOT-23-6,C85364
X322512MSB4SI,Y1,"YSX321SL, datasheet recommended measurements",C9002
GT-USB-7047C,J3,GT-USB-7047C,C963218
W25QXXXJV,U4,SOIC-8_5.275x5.275mm_P1.27mm,C97521
Conn_01x03,J1,PinHeader_1x03_P2.54mm_Vertical,
