Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric,66.2125,-44.5,0.0,top
C2,22u,C_0603_1608Metric,65.9875,-49.5,180.0,top
C3,100n,C_0402_1005Metric,68.973583,-77.854844,-135.0,top
C4,100n,C_0402_1005Metric,75.337544,-65.834029,45.0,top
C5,100n,C_0402_1005Metric,79.778175,-71.292893,45.0,top
C6,100n,C_0402_1005Metric,69.68069,-65.834029,135.0,top
C7,100n,C_0402_1005Metric,67.050253,-68.464466,135.0,top
C8,100n,C_0402_1005Metric,68.266476,-77.147737,-135.0,top
C9,100n,C_0402_1005Metric,75.535534,-76.949747,-45.0,top
C10,100n,C_0402_1005Metric,79.226631,-73.25865,-45.0,top
C11,100n,C_0402_1005Metric,75.535534,-67.050253,45.0,top
C12,100n,C_0402_1005Metric,76.242641,-67.757359,45.0,top
C13,1u,C_0402_1005Metric,78.363961,-69.87868,45.0,top
C14,1u,C_0402_1005Metric,79.071068,-70.585786,45.0,top
C15,30p,C_0402_1005Metric,66.12003,-81.743931,-90.0,top
C16,30p,C_0402_1005Metric,71.12003,-81.743931,90.0,top
C17,100n,C_0603_1608Metric,73.5,-53.85,180.0,top
C18,10n,C_0603_1608Metric,73.5,-55.580981,180.0,top
J3,GT-USB-7047C,GT-USB-7047C,77.0,-44.0,90.0,top
R1,1R,R_0603_1608Metric,65.9875,-47.5,0.0,top
R3,27,R_0402_1005Metric,76.949747,-68.464466,-135.0,top
R4,27,R_0402_1005Metric,77.656854,-69.171573,-135.0,top
R5,1k,R_0402_1005Metric,67.559369,-76.440631,-135.0,top
R6,1k,R_0603_1608Metric,68.0,-55.580981,180.0,top
R7,5k1,R_0402_1005Metric,72.75,-47.25,-90.0,top
R8,5k1,R_0402_1005Metric,71.5,-41.0,180.0,top
R9,1k5,R_0402_1005Metric,59.25,-92.25,180.0,top
R10,1k5,R_0402_1005Metric,61.109999,-51.8,0.0,top
SW1,SW_Push,TS-1187A,60.0,-40.0,180.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2_flipped_for_jlcpcb,59.9875,-47.5,0.0,top
U2,SRV05-4,SOT-23-6_flipped_for_jlcpcb,71.4,-44.0,90.0,top
U3,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,72.0,-72.0,-45.0,top
U4,W25QXXXJV,SOIC-8_5.275x5.275mm_P1.27mm,71.80201,-59.470068,-90.0,top
Y1,X322512MSB4SI,"YSX321SL, datasheet recommended measurements",68.62003,-81.743931,-90.0,top
